"clapet","clapet","élément
 empechant le retour de l'eau en arrière"
"batardeau","batardeau","barrage provisoire permettant la baisse du niveau d'eau en aval"
"ventouse","ventouse","élément
 permettant de chasse rles gaz d'une conduite"
"vanne","vanne","élément
 d'ouverture ou fermeture d'un réseau"
"vanne_regul","Vanne de régulation","Vanne permettant la régulation de l'écoulement"
"orifice","orifice","ouverture calibrée permettant l'évacuation des eaux à une débit déterminé"
"barrage_poutrelle","barrage à poutrelle","ensemble de poutre assemblée formant une embâcle sur l'écoulement des eaux"
"porte_flots","porte à flots","élément
 de régulation pouvant être ouverrt ou fermé suivant le niveau d'eau"
"venturi","venturi","canal à effet venturi permetant la mesure du débit"
"seuil","seuil","élément calibré en hauteur permettant le passage par surverse à un débit connu"